event,gender,age_from,age_to,period_from,period_to,sample_size,median_improvement,mean_improvement,std_improvement,min_improvement,max_improvement,q25_improvement,q75_improvement,iqr_lower,iqr_upper,analysis_date,status
200 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,348,1.5899999999999892,1.710919540229884,2.126302241782969,-8.299999999999997,9.060000000000002,0.40500000000000114,2.894999999999989,0.40500000000000114,2.894999999999989,2025-11-01 11:05:23,Complete
200 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,350,0.7349999999999923,0.7695999999999991,1.7846891237891906,-3.8299999999999983,7.429999999999993,-0.3499999999999943,1.914999999999992,-0.3499999999999943,1.914999999999992,2025-11-01 11:05:24,Complete
200 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,289,-0.46000000000000796,-0.723425605536332,2.2729485664312636,-9.26000000000002,5.300000000000011,-2.1899999999999977,0.7299999999999898,-2.1899999999999977,0.7299999999999898,2025-11-01 11:05:24,Complete
200 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,332,2.5799999999999983,2.568012048192771,1.9444763348321599,-4.199999999999989,8.829999999999998,1.3275000000000006,3.654999999999994,1.3275000000000006,3.654999999999994,2025-11-01 11:05:24,Complete
200 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,325,1.4699999999999989,1.5471999999999997,1.7622064421103976,-3.030000000000001,8.0,0.46999999999999886,2.549999999999997,0.46999999999999886,2.549999999999997,2025-11-01 11:05:24,Complete
200 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,302,0.22999999999998977,0.15122516556291424,1.761699253720325,-5.530000000000001,4.6299999999999955,-0.9149999999999885,1.2824999999999953,-0.9149999999999885,1.2824999999999953,2025-11-01 11:05:25,Complete
400 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,348,2.4049999999999727,2.3845402298850584,4.996867589615687,-11.629999999999995,16.980000000000018,-0.3424999999999869,5.322500000000005,-0.3424999999999869,5.322500000000005,2025-11-01 11:05:25,Complete
400 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,345,1.2999999999999545,1.2077101449275356,4.223532174842055,-11.769999999999982,16.620000000000005,-1.509999999999991,3.8799999999999955,-1.509999999999991,3.8799999999999955,2025-11-01 11:05:25,Complete
400 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,259,-1.829999999999984,-2.2254054054054038,5.501077898037771,-20.71999999999997,15.090000000000032,-5.39500000000001,1.5300000000000011,-5.39500000000001,1.5300000000000011,2025-11-01 11:05:25,Complete
400 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,329,4.819999999999993,4.8687841945288755,5.111868695626948,-11.390000000000015,21.55000000000001,1.960000000000008,7.700000000000017,1.960000000000008,7.700000000000017,2025-11-01 11:05:25,Complete
