gender,event,age_from,age_to,zscore_range,n_athletes,mean_zscore,median_zscore,min_zscore,max_zscore,median_improvement,mean_improvement,std_improvement,pct_improving,pct_getting_slower,q25_improvement,q75_improvement,transition,gender_event
F,100 Breast,16,17,Top 15.9% (1.0 ≤ z < 1.5),33,1.2300916470078198,1.2626716779170182,1.0386839654162583,1.4948043981450825,-0.3599999999999994,-0.1966666666666656,1.7532682324588833,39.39393939393939,60.60606060606061,-1.3199999999999932,0.8900000000000006,16→17,F 100 Breast
F,100 Breast,16,17,Top 2.5% (z ≥ 2.0),16,2.6783758335184213,2.785788122922196,2.048664923601509,3.3600111676968725,-0.519999999999996,-0.1987500000000004,0.8971264891307148,31.25,68.75,-0.692499999999999,0.3475000000000001,16→17,F 100 Breast
F,100 Breast,17,18,Above Average (0.5 ≤ z < 1.0),47,0.7561593523881681,0.7741360305325374,0.5006647287130951,0.9945457364765724,-0.7399999999999949,-1.1587234042553194,1.9898482963893829,36.17021276595745,63.82978723404256,-2.134999999999998,0.4400000000000048,17→18,F 100 Breast
F,100 Breast,17,18,Average (0 ≤ z < 0.5),44,0.2200505197565692,0.1965809677347524,0.0027020597284242,0.4802564226071615,-0.5200000000000031,-0.8470454545454554,2.1326590098933624,34.090909090909086,65.9090909090909,-1.960000000000004,0.5875000000000021,17→18,F 100 Breast
F,100 Breast,17,18,Below Average (-0.5 ≤ z < 0),43,-0.2571004231177475,-0.2911775481969517,-0.4707706419291252,-0.0095429239351278,-0.8400000000000034,-0.9411627906976752,2.0644715628858408,37.2093023255814,62.7906976744186,-2.289999999999999,0.5499999999999972,17→18,F 100 Breast
F,100 Breast,17,18,Bottom 15.9% (z < -1.0),35,-1.195323818135618,-1.205469661742565,-1.352409465705253,-1.046284874116319,-0.4500000000000028,-0.3940000000000005,2.2654853784564577,34.285714285714285,65.71428571428571,-1.9099999999999968,1.1700000000000017,17→18,F 100 Breast
F,100 Breast,17,18,Lower (-1.0 ≤ z < -0.5),49,-0.7337462434655229,-0.7442419437485734,-0.9646516496926024,-0.5034239316986109,-0.8700000000000045,-0.7969387755102046,2.208496768357019,36.734693877551024,63.26530612244898,-2.25,0.9000000000000057,17→18,F 100 Breast
F,100 Breast,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.2327398234557705,1.24760873219009,1.0027090589189422,1.4925084054612374,-0.585000000000008,-0.7500000000000006,1.4455300560199855,32.142857142857146,67.85714285714286,-1.6900000000000013,0.2674999999999983,17→18,F 100 Breast
F,100 Breast,17,18,Top 2.5% (z ≥ 2.0),17,2.559982863660767,2.533332016863611,2.006797719330648,3.672115497574447,-0.9699999999999988,-1.0523529411764732,1.3100180933270706,23.52941176470588,76.47058823529412,-1.960000000000008,-0.0300000000000011,17→18,F 100 Breast
F,100 Breast,17,18,Top 6.7% (1.5 ≤ z < 2.0),16,1.7700613685018698,1.7659797072806829,1.6312848869815555,1.9986343968882725,-0.5349999999999966,-1.2543750000000005,2.481201747011919,31.25,68.75,-0.9350000000000094,0.0975000000000001,17→18,F 100 Breast
