gender,event,age_from,age_to,zscore_range,n_athletes,mean_zscore,median_zscore,min_zscore,max_zscore,median_improvement,mean_improvement,std_improvement,pct_improving,pct_getting_slower,q25_improvement,q75_improvement
F,200 Fly,15,16,Bottom 15.9% (z < -1.0),34,-1.1703573011460566,-1.1555029542415904,-1.4249807528547913,-1.000240911331996,3.8900000000000006,4.377647058823525,3.3194179670747115,94.11764705882352,5.88235294117647,1.8825000000000074,6.340000000000003
F,200 Fly,15,16,Average (0 ≤ z < 0.5),56,0.2347806836840937,0.21508611420171886,0.01520854172040228,0.4881331551806593,1.0,0.9378571428571415,3.3839483037494804,62.5,37.5,-0.6650000000000063,3.519999999999996
F,200 Fly,15,16,Top 6.7% (1.5 ≤ z < 2.0),29,1.7319525809787983,1.7659219221147844,1.5017979870501905,1.9854303276076612,1.259999999999991,0.544827586206895,3.2769557158095597,62.06896551724138,37.93103448275862,-1.1899999999999975,2.3700000000000045
F,200 Fly,16,17,Top 2.5% (z ≥ 2.0),13,2.663061995520811,2.4426302719129813,2.1338893686306895,4.243618874393038,-0.5800000000000125,-1.0700000000000007,2.7311761343646612,46.15384615384615,53.84615384615385,-2.8799999999999955,0.8799999999999955
F,200 Fly,16,17,Average (0 ≤ z < 0.5),54,0.26639463713367123,0.24684367529320944,0.0010930137725335422,0.49791745583599406,0.9650000000000176,0.345000000000002,4.01253118137186,57.407407407407405,42.592592592592595,-2.1724999999999923,3.1674999999999898
F,200 Fly,16,17,Top 15.9% (1.0 ≤ z < 1.5),35,1.2260694416888054,1.2289591348722342,1.010711254965786,1.4844688479334436,-0.410000000000025,-0.9239999999999985,3.0620797787498257,45.714285714285715,54.285714285714285,-2.5450000000000017,1.075000000000017
F,200 Fly,16,17,Bottom 15.9% (z < -1.0),32,-1.2128553690506152,-1.1921728336834627,-1.4627647173073144,-1.0102996004280917,2.6700000000000017,3.7034375000000024,3.772923774553862,87.5,12.5,0.5074999999999932,6.420000000000009
F,200 Fly,16,17,Lower (-1.0 ≤ z < -0.5),48,-0.7381181743184696,-0.7042202566568493,-0.9978789893765013,-0.5117007853572583,0.8149999999999977,1.1058333333333337,3.4503404622668135,60.416666666666664,39.58333333333333,-0.9399999999999835,2.6699999999999946
F,200 Fly,16,17,Above Average (0.5 ≤ z < 1.0),56,0.743097783175734,0.7170525222461314,0.520984304931802,0.9947418978994597,0.5449999999999875,0.27178571428571174,3.840296262354384,55.35714285714286,44.642857142857146,-1.3699999999999974,2.7349999999999994
F,200 Fly,16,17,Below Average (-0.5 ≤ z < 0),70,-0.24072867894611163,-0.24909358026656714,-0.4975058012982999,-0.0006813592348343566,1.4450000000000074,1.2634285714285731,3.878792111585506,60.0,40.0,-1.3349999999999937,3.5050000000000168
F,200 Fly,16,17,Top 6.7% (1.5 ≤ z < 2.0),24,1.7274100855257888,1.7399785609946554,1.5128588160513603,1.9901651550337587,-0.1799999999999926,-0.6404166666666669,3.5499230967804856,50.0,50.0,-1.5875000000000057,1.7849999999999895
F,200 Fly,17,18,Top 6.7% (1.5 ≤ z < 2.0),17,1.6575590621507033,1.6259751732152639,1.5079511671933519,1.930177892961876,-0.6200000000000045,-0.9382352941176464,2.3997505637390883,41.17647058823529,52.94117647058824,-1.960000000000008,0.7600000000000193
F,200 Fly,17,18,Below Average (-0.5 ≤ z < 0),40,-0.27009710662617287,-0.2723827827991309,-0.4967946252351597,-0.0629317298588426,-0.5349999999999966,-1.4695,5.099350914577266,45.0,55.00000000000001,-3.1850000000000094,2.069999999999993
F,200 Fly,17,18,Lower (-1.0 ≤ z < -0.5),39,-0.745160780197121,-0.7677511461023624,-0.9788645089866269,-0.5084307948429526,-1.6400000000000148,-1.9376923076923112,5.03708221480043,35.8974358974359,64.1025641025641,-5.030000000000001,1.4650000000000034
F,200 Fly,17,18,Above Average (0.5 ≤ z < 1.0),42,0.7448717452944787,0.7133670139754177,0.510565200811008,0.997622014394387,-0.46000000000000796,-1.6788095238095235,4.226224366061299,47.61904761904761,52.38095238095239,-3.917499999999997,1.5199999999999958
F,200 Fly,17,18,Top 2.5% (z ≥ 2.0),6,2.7053684301668213,2.2917303057754776,2.068149618311436,3.9914422234853877,0.42000000000000165,0.1266666666666675,2.013427150132052,66.66666666666666,33.33333333333333,0.015000000000000579,0.9525000000000043
F,200 Fly,17,18,Average (0 ≤ z < 0.5),37,0.25043615822750426,0.28449104843101247,0.0035606678999812757,0.4972667212592413,-0.0699999999999931,-0.5927027027027029,3.2450100142673537,48.64864864864865,51.35135135135135,-2.0999999999999943,1.6599999999999966
F,200 Fly,17,18,Top 15.9% (1.0 ≤ z < 1.5),28,1.261513717999714,1.2694096902335743,1.0242189734979157,1.4880034478657043,-1.4299999999999926,-1.4649999999999963,3.700994557451513,35.714285714285715,64.28571428571429,-3.694999999999985,1.292500000000018
F,200 Fly,17,18,Bottom 15.9% (z < -1.0),35,-1.2681064392375054,-1.2780802989013271,-1.5590106794323584,-1.0054614680901555,-0.0900000000000034,0.010857142857145976,5.270961620820557,48.57142857142857,51.42857142857142,-4.359999999999999,3.855000000000018
F,200 IM,15,16,Top 2.5% (z ≥ 2.0),22,2.702105550576169,2.493059491130383,2.0447704664116495,4.788515340593784,0.5149999999999864,0.07545454545454343,3.103622117451461,59.09090909090909,40.909090909090914,-0.9874999999999972,2.2625000000000104
F,200 IM,15,16,Above Average (0.5 ≤ z < 1.0),38,0.7363606322175112,0.7323098277772815,0.5081653154179145,0.9699570216040833,1.6850000000000023,1.5389473684210502,2.5083909599096033,78.94736842105263,21.052631578947366,0.14249999999999824,3.6999999999999957
F,200 IM,15,16,Below Average (-0.5 ≤ z < 0),74,-0.23557697730170682,-0.23043136085060306,-0.4667282865306629,-0.021139798105412954,1.9300000000000068,2.1070270270270246,2.439187242643532,75.67567567567568,24.324324324324326,0.24499999999999028,3.239999999999988
F,200 IM,15,16,Average (0 ≤ z < 0.5),64,0.21836401442315861,0.1908523009332649,0.00046449224248125675,0.49196209765699583,1.065000000000012,0.9293749999999994,2.4459378792960003,60.9375,39.0625,-1.204999999999998,2.520000000000003
F,200 IM,15,16,Bottom 15.9% (z < -1.0),28,-1.1208367559029633,-1.1283596784348164,-1.2012741583589508,-1.0149371541083931,3.615000000000009,3.9982142857142873,1.7219840167904077,100.0,0.0,2.7575000000000003,5.8049999999999855
F,200 IM,15,16,Lower (-1.0 ≤ z < -0.5),75,-0.7408867310453954,-0.7502845973467255,-0.9879317911735234,-0.5018352583459843,2.1500000000000057,2.733866666666667,2.2555264830091337,94.66666666666667,5.333333333333334,0.8900000000000148,3.9599999999999937
F,200 IM,15,16,Top 15.9% (1.0 ≤ z < 1.5),25,1.2302887202961639,1.1941015339634464,1.0266682837672911,1.4938610625404354,0.4799999999999897,0.28959999999999697,3.0482420901234235,64.0,36.0,-0.7199999999999989,1.7299999999999898
F,200 IM,15,16,Top 6.7% (1.5 ≤ z < 2.0),20,1.7467662864254283,1.747711474128152,1.5181658891818057,1.9880592042484337,0.5649999999999977,0.002500000000002012,1.8920382527845478,65.0,35.0,-1.8900000000000008,1.4125000000000159
F,200 IM,16,17,Top 6.7% (1.5 ≤ z < 2.0),18,1.7410020363368928,1.7607511884936364,1.5016001002689081,1.878793830774009,0.01500000000000055,-0.4383333333333294,2.3903376098134936,50.0,50.0,-1.8074999999999903,0.7875000000000085
