gender,event,age_from,age_to,total_n,overall_mean_zscore,overall_median_improvement,overall_mean_improvement,correlation_zscore_improvement,correlation_pvalue,pct_improving,pct_getting_slower
M,400 Free,15,16,329,0.2780730032806803,4.819999999999993,4.8687841945288755,-0.4029158130738177,1.7763568394002505e-15,84.49848024316108,15.501519756838904
M,400 Free,16,17,341,0.23433616180306585,2.569999999999993,2.6368914956011724,-0.27704410758090925,1.1039705527515764e-07,73.02052785923753,26.97947214076246
M,400 Free,17,18,291,0.25535292580358354,0.2999999999999829,-0.41725085910652987,-0.028398311538054423,0.6291198189205287,51.890034364261176,48.10996563573883
M,800 Free,15,16,305,0.32323979164431493,9.950000000000044,10.153311475409835,-0.33276558494548725,8.124390049601971e-10,81.9672131147541,18.0327868852459
M,800 Free,16,17,327,0.23329529890756084,3.699999999999932,3.993088685015293,-0.23576187628042847,1.2224551416251117e-05,66.36085626911316,33.63914373088685
M,800 Free,17,18,238,0.3067993812588861,-0.1750000000000113,-1.7605882352941167,-0.061551008268720744,0.3434549667886142,49.159663865546214,50.84033613445378
M,1500 Free,15,16,282,0.3233308203090603,17.760000000000048,19.466843971631203,-0.3766510813502294,1.0201617328675638e-11,79.07801418439716,20.921985815602838
M,1500 Free,16,17,295,0.29848628235450253,7.939999999999941,7.098881355932201,-0.1801099409243111,0.001722990206763031,63.05084745762712,36.94915254237288
M,1500 Free,17,18,184,0.407072012221866,1.69500000000005,-4.199402173913046,0.036820169033087054,0.6191408911074743,53.2608695652174,46.73913043478261
M,100 Back,15,16,336,0.2692303987362128,1.5400000000000027,1.5522916666666664,-0.5272086885225268,0.0,88.39285714285714,11.607142857142858
M,100 Back,16,17,324,0.28791317733446614,0.8649999999999984,0.9465740740740739,-0.35840899358881173,5.614619880134342e-12,81.79012345679013,17.59259259259259
M,100 Back,17,18,301,0.16539197721130272,0.1199999999999974,0.03857142857142857,-0.16641655643705983,0.003519394048028701,54.15282392026578,45.84717607973422
M,200 Back,15,16,339,0.24303892217178405,3.039999999999992,3.139764011799409,-0.4452522359656323,0.0,88.79056047197639,11.209439528023598
M,200 Back,16,17,355,0.184545004100743,1.5,1.6970704225352113,-0.3169686709699823,3.4059377540529567e-10,74.08450704225352,25.915492957746476
M,200 Back,17,18,283,0.21576708937898198,0.1300000000000238,-0.3267844522968185,-0.10195692634392542,0.08578518522910139,52.29681978798587,47.70318021201413
M,100 Breast,15,16,345,0.30724438771519264,1.9599999999999935,1.9189275362318847,-0.43015356448755326,0.0,89.56521739130436,9.855072463768117
M,100 Breast,16,17,336,0.30535063904096155,1.1499999999999917,1.226130952380952,-0.39008455286012517,9.769962616701378e-15,81.54761904761905,18.452380952380953
M,100 Breast,17,18,289,0.11174243907310152,0.0900000000000034,0.06041522491349447,-0.1698618958822006,0.0034994385499111935,53.28719723183391,46.71280276816609
M,200 Breast,15,16,338,0.25838371444938685,3.694999999999993,3.7557692307692303,-0.3760414995529217,1.0147438445073931e-13,83.4319526627219,16.56804733727811
M,200 Breast,16,17,349,0.26803997502053895,2.25,2.5947564469914037,-0.41177251930676406,0.0,77.36389684813754,22.636103151862464
M,200 Breast,17,18,292,0.2597676904192148,-0.0749999999999886,-0.623150684931507,-0.07757849184965795,0.18513544654843095,49.65753424657534,50.34246575342466
M,100 Fly,15,16,330,0.25089851649263417,1.4750000000000014,1.5370303030303027,-0.5112258022355962,0.0,92.72727272727272,6.666666666666667
M,100 Fly,16,17,320,0.26581400611947376,0.9749999999999978,0.9624062499999999,-0.3951399952104565,1.709743457922741e-14,83.4375,16.25
M,100 Fly,17,18,287,0.15786724784957326,0.2900000000000062,0.21195121951219514,-0.15548661444513928,0.007878486758154502,62.36933797909408,37.282229965156795
M,200 Fly,15,16,337,0.24476767555771883,3.629999999999996,3.7142136498516316,-0.48511784724851087,0.0,88.13056379821958,11.869436201780417
M,200 Fly,16,17,344,0.2250704877723062,2.0600000000000094,2.146308139534884,-0.3883159057315008,6.661338147750939e-15,76.74418604651163,23.25581395348837
M,200 Fly,17,18,275,0.21678918013559137,0.3299999999999983,0.009745454545454519,-0.12965682404473372,0.030732482217963764,54.18181818181819,45.09090909090909
M,200 IM,15,16,333,0.2178066435284614,2.8100000000000023,2.8623723723723726,-0.4295919399408896,0.0,87.38738738738738,12.612612612612612
M,200 IM,16,17,316,0.2743859862086569,1.82500000000001,1.902753164556962,-0.3960198351640307,2.1316282072803006e-14,81.9620253164557,18.037974683544302
M,200 IM,17,18,287,0.14315782373509825,-0.0100000000000193,-0.17212543554007034,-0.19857533413181,0.0006251678460598153,49.12891986062718,50.522648083623686
M,400 IM,15,16,49,0.30087239149848916,1.829999999999984,1.1322448979591841,-0.40726243224559444,0.0022351667889699556,57.14285714285714,42.857142857142854
M,400 IM,16,17,55,0.17901591794536698,8.569999999999993,9.267454545454546,-0.34343879763606183,0.007763165207179679,94.54545454545455,5.454545454545454
M,400 IM,17,18,263,0.17410165676114647,0.4499999999999886,-0.5474144486692009,-0.1299401480234954,0.034243108571361924,52.09125475285171,47.90874524714829
